LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,EXTRACK_P_STUCK,EXTRACK_P_DIFFUSIVE,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Probability stuck,Probability diffusive,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,P stuck,P diffusive,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID2076,2076,0,51328.0,233.072900330856,270.2377114117712,0.0,37.0,37,127.82536494234337,1,,254.51316917322526,255.0,0.0,255.0,1.306467E7,11.131364265644297,,,0.9991935615140844,22.855285039420487,-0.1260493706394804,-0.1240341795107354,134.68070902864025,121.53051899316594,-0.013329868689318052,1.1082048373068643,51331.50000000005,925.9867778525947,0.752288197750442,0.9790295817359971,4.087076886524292
ID2074,2074,0,51359.0,234.48285473247023,270.49383172718126,0.0,38.0,38,127.86706887948282,1,,254.5234108828969,255.0,0.0,255.0,1.3073595E7,11.013875308495376,,,0.9988563631047142,23.09612005814507,0.07773398997676184,-0.41984892319074885,135.0803129548715,121.13511540954511,-0.07784036002121256,1.115121015885271,51364.99999999998,918.0448594392988,0.765859934406324,0.9789496755257814,4.050701650269278
ID2078,2078,0,51493.0,233.57709508415286,270.4457286074409,0.0,39.0,39,128.0393424813907,1,,254.30680957651307,255.0,0.0,255.0,1.3097055E7,13.27729144057977,,,0.9988973603297503,19.142950125450312,-0.3279205319228918,0.10385414388015801,135.60516082358671,121.0772896039078,-0.09594264908595786,1.1199884079599518,51503.49999999999,935.5826783924217,0.7394047940522981,0.9757407547741742,4.122529774576375
ID2093,2093,0,52099.0,233.8633307423863,270.7363103634683,0.0,40.0,40,128.78422832266114,1,,254.53500201547115,255.0,0.0,255.0,1.326051E7,10.87936279637229,,,0.9989366571736985,23.383685773146183,-0.4289303634698165,0.1159356252615563,135.40273344467028,122.73339970981543,-0.09649857522288983,1.1032264547776691,52104.49999999998,930.6496045264338,0.7559841714479084,0.9812615938003179,4.077073875002299
ID2109,2109,0,51971.0,234.46000461818215,270.4541356783436,0.0,41.0,41,128.61604612233387,1,,254.49943226650757,255.0,0.0,255.0,1.3224045E7,11.287012703058677,,,0.9986898003046305,22.533207601225183,0.14520033366358676,0.11670809324198049,135.59179185376084,121.99269341447317,-0.1024588458763066,1.1114746962187678,51968.499999999956,980.9853449988026,0.6786174247394001,0.9764018450149828,4.303208891485424
ID2102,2102,0,52070.0,233.98891556622647,270.0402096838735,0.0,42.0,42,128.73231315191845,1,,254.5787390986976,255.0,0.0,255.0,1.325286E7,10.355970703548033,,,0.9983723841281896,24.562776338559217,-0.014928318657366423,0.271415449470922,135.60372115676307,121.68089500849699,3.031850064077423,1.1144208065472714,52062.49999999997,960.5164988393335,0.7091289643055034,0.9753093358061458,4.209614433257285
ID2088,2088,0,52235.0,234.26197268036796,270.54747591743484,0.0,43.0,43,128.94355137028393,1,,254.32132804871043,255.0,0.0,255.0,1.328244E7,13.137886315640035,,,0.9985549543947875,19.34386065784183,0.02311477743572844,-0.05666021250886679,135.5565332229258,122.23627082446792,-0.1214011245922027,1.1089714395622055,52233.500000000065,960.4752844363742,0.7115191674287038,0.9788795082504859,4.202537815775979
ID2087,2087,0,52516.0,234.61749375438464,270.3379536602322,0.0,44.0,44,129.2763826429664,1,,254.42197798011352,255.0,0.0,255.0,1.3356645E7,12.12700733681075,,,0.9985502404869214,20.96456378679366,-0.20554228771842423,0.11537446749235525,135.52005751340462,123.56866372877168,-0.07995956135368276,1.0967186455205649,52503.500000000044,934.7324849470923,0.7551329957040899,0.9781195275531884,4.079371039235618
ID2097,2097,0,52578.0,233.9391862106148,270.2321979607694,0.0,45.0,45,129.33669353154838,1,,254.4517172485967,255.0,0.0,255.0,1.337271E7,11.811610485586254,,,0.9985263714355093,21.526623795880194,-0.19525003980128974,-0.5167817515898732,135.66045186246598,123.3781794414185,-0.0667658797364738,1.0995497945962094,52552.50000000004,943.636044614352,0.7416418043724319,0.9760593594160645,4.1163076965606855
ID2089,2089,0,53001.0,234.18020619075475,269.9797709131395,0.0,46.0,46,129.87761854352587,1,,254.20607215638915,255.0,0.0,255.0,1.3471905E7,14.206515653308568,,,0.9988270684454033,17.883125441250762,0.3506939021154959,0.1122200805522581,135.4175379565546,124.28988869068648,-0.15754167860088197,1.0895298031327465,52992.99999999998,961.5587501504235,0.7202391450508883,0.9725002982116474,4.17702015857536
